X             Y             Z             A             B             C             Azimuth       Dip           M             K             Population    Number        Rugosity      Length        Height        Area          Set
61433.0972    9561.2814     920.1220      0.6925        0.7214        0.0016        43.83         89.91         5.7038        0.7545         9509          2            0.0290        1.0271        2.3829        1.8720        Set2
61432.8055    9561.5309     920.6016      -0.6758       -0.7271       0.1211        222.91        83.05         4.5870        0.1508         816           3            0.0079        0.3340        0.4057        0.1728        Set2
61432.9744    9561.6397     921.2342      -0.4071       -0.9134       0.0088        204.02        89.49         3.9282        0.6010         981           11           0.0157        0.3378        0.6127        0.2160        Set2
61433.0703    9561.9590     918.4260      -0.6289       -0.7461       0.2189        220.13        77.35         4.4005        0.5197         973           31           0.0148        0.6086        0.5283        0.3024        Set2
61433.1365    9561.6325     923.9338      -0.6252       -0.7648       0.1555        219.26        81.05         4.5499        1.3425         515           43           0.0146        0.2463        0.6313        0.2448        Set2
61433.2891    9561.3921     923.6604      -0.6246       -0.7622       0.1700        219.34        80.21         5.9301        0.2972         1791          59           0.0085        0.5023        0.8708        0.4320        Set2
61433.3094    9565.6646     924.2411      -0.7050       -0.6812       0.1972        225.98        78.63         5.3518        0.3654         228           174          0.0075        0.3845        0.4184        0.2016        Set2
61433.3405    9568.0100     919.0509      -0.8062       -0.5874       0.0703        233.92        85.97         4.6561        0.2149         642           179          0.0096        0.3484        0.5203        0.2160        Set2
61433.7118    9558.5526     923.1193      0.6367        0.7711        0.0095        39.55         89.45         5.0324        0.0891         12469         195          0.0163        1.1647        1.1000        1.0368        Set2
61433.4910    9558.7999     921.4844      -0.6938       -0.7110       0.1148        224.30        83.41         4.3009        0.3910         1374          196          0.0098        0.2673        0.3884        0.1728        Set2
61433.5376    9560.2685     919.7138      -0.4610       -0.8845       0.0712        207.53        85.92         3.7574        0.6247         1479          205          0.0147        0.4807        0.2847        0.1728        Set2
61433.4602    9560.4144     922.9983      -0.7709       -0.6366       0.0198        230.45        88.86         4.6916        0.7904         1918          211          0.0153        0.4740        0.7032        0.2880        Set2
61433.5468    9560.5743     918.6900      0.6649        0.7260        0.1758        42.48         79.88         3.7262        0.0699         1957          215          0.0130        0.4183        0.5348        0.2592        Set2
61433.5067    9560.5648     920.6586      -0.5649       -0.8246       0.0299        214.42        88.29         5.3022        3.2405         1578          217          0.0168        0.7101        0.8314        0.4032        Set2
61433.5217    9565.1287     923.5647      -0.5924       -0.6616       0.4597        221.84        62.63         5.1994        0.5540         208           240          0.0074        0.5285        0.2072        0.1872        Set2
