X             Y             Z             A             B             C             Azimuth       Dip           M             K             Population    Number        Rugosity      Length        Height        Area          Set
61432.7358    9561.6024     920.1674      0.9120        0.4098        0.0201        65.80         88.85         6.4473        1.1462         3150          1            0.0121        0.7646        1.3018        0.7056        Set5
61433.0561    9561.9377     918.5808      -0.8830       -0.4669       0.0488        242.13        87.20         5.0789        0.3212         18561         12           0.0362        2.2079        1.4947        2.6352        Set5
61433.2832    9560.8364     920.0464      -0.9217       -0.3418       0.1834        249.65        79.43         3.4960        0.5820         10511         80           0.0541        1.4422        0.9772        1.3536        Set5
61433.1700    9561.2578     920.9162      0.7439        0.6447        0.1759        49.09         79.87         4.2900        0.0735         3450          84           0.0192        0.8393        0.7579        0.6192        Set5
61433.0440    9561.6546     923.6205      -0.8261       -0.5360       0.1739        237.02        79.98         4.8496        0.1699         3910          89           0.0170        1.0800        0.7733        0.8496        Set5
61433.0153    9562.8592     918.2834      -0.9149       -0.3479       0.2048        249.18        78.18         5.6248        0.4008         1268          110          0.0072        0.5562        0.4962        0.3024        Set5
61433.2293    9561.1915     919.2491      0.8376        0.5238        0.1554        57.98         81.06         4.6662        0.2299         3114          136          0.0128        0.6658        0.5644        0.3888        Set5
61433.1461    9561.2861     920.4701      -0.6856       -0.7022       0.1923        224.31        78.91         4.1593        0.4537         703           139          0.0135        0.4284        0.4311        0.2448        Set5
61433.0858    9562.6716     924.2908      -0.6910       -0.4242       0.5853        238.45        54.18         4.9909        0.3004         378           163          0.0077        0.5161        0.2310        0.2448        Set5
61433.2326    9561.5238     921.5451      0.9219        0.3658        0.1273        68.36         82.69         4.8535        0.5386         1069          220          0.0122        0.6661        0.3961        0.3312        Set5
61433.2284    9565.4620     918.3066      -0.8896       -0.3665       0.2724        247.61        74.19         4.9377        0.3258         1024          252          0.0112        0.4600        0.6786        0.3600        Set5
61433.1740    9568.7675     920.2016      -0.8542       -0.5198       0.0141        238.68        89.19         3.4595        0.4183         1991          273          0.0177        0.4587        0.4620        0.2448        Set5
61433.2053    9569.5396     918.8218      -0.8557       -0.2738       0.4391        252.26        63.96         4.9792        0.3734         2939          287          0.0122        0.7049        0.6040        0.4608        Set5
