X             Y             Z             A             B             C             Azimuth       Dip           M             K             Population    Number        Rugosity      Length        Height        Area          Set
61432.8091    9562.4067     920.3871      -0.9905       0.1318        0.0386        277.58        87.79         5.4621        0.1452         33921         6            0.0309        2.6689        2.8116        4.8816        Set1
61432.9857    9562.4324     923.8608      0.9768        -0.2002       0.0764        101.58        85.62         4.4980        0.6858         7679          35           0.0349        1.5759        0.8146        1.1088        Set1
61432.8443    9562.3856     918.6280      0.9858        0.0643        0.1549        86.27         81.09         5.0730        0.4247         1190          36           0.0114        0.9263        0.4620        0.4752        Set1
61432.9565    9563.0303     918.2398      -0.9431       -0.2148       0.2539        257.17        75.29         4.9500        0.4858         1584          58           0.0133        0.5411        0.7472        0.4032        Set1
61432.9335    9562.1823     918.0185      -0.9962       0.0469        0.0732        272.69        85.80         4.2949        0.1844         589           86           0.0087        0.4469        0.3196        0.1584        Set1
61432.9632    9563.0845     920.0315      0.9251        -0.3784       0.0317        112.24        88.18         3.9727        1.2459         382           106          0.0151        0.3724        0.4981        0.2016        Set1
61433.1213    9561.2608     917.8244      -0.9563       -0.0106       0.2923        269.36        73.00         3.7410        0.2066         787           127          0.0079        0.3780        0.2441        0.1584        Set1
61433.1125    9561.3327     923.1246      0.8474        -0.1526       0.5086        100.21        59.43         4.3528        2.2851         372           130          0.0096        0.5357        0.1455        0.1584        Set1
61433.1627    9562.0679     924.2369      -0.9129       -0.0409       0.4062        267.44        66.03         4.0901        1.3540         1249          135          0.0207        0.6580        0.2711        0.2736        Set1
61433.1354    9563.2772     921.3749      -0.8485       0.2622        0.4597        287.17        62.63         2.8580        0.3308         565           166          0.0236        0.4001        0.3542        0.2160        Set1
61433.0927    9569.0728     920.1680      0.9839        -0.1479       0.1006        98.55         84.22         3.3375        0.0376         2939          195          0.0181        0.5695        0.4892        0.3312        Set1
61433.4561    9568.5382     920.6739      -0.9464       -0.2658       0.1835        254.31        79.43         4.0238        0.1615         28850         196          0.0526        1.6008        1.6371        2.6352        Set1
61433.2537    9569.5443     919.2273      -0.9921       0.0665        0.1067        273.84        83.87         3.8765        0.3065         18552         200          0.0446        1.2672        1.3860        1.6848        Set1
61433.2865    9560.7481     922.0492      0.9991        0.0270        0.0330        88.45         88.11         5.6319        0.3938         40301         203          0.0469        4.2746        2.2108        5.4000        Set1
61433.3352    9560.7957     919.1654      0.9935        0.1036        0.0481        84.05         87.25         5.5780        0.3077         29003         221          0.0276        1.9782        2.2700        3.1536        Set1
61433.2631    9562.8707     921.8436      -0.6922       -0.2230       0.6864        252.14        46.65         5.0865        0.8374         270           241          0.0095        0.5445        0.2261        0.2016        Set1
61433.1867    9563.6675     918.4295      0.9942        -0.0610       0.0887        93.51         84.91         3.7043        0.1047         1528          242          0.0151        0.5139        0.5246        0.3168        Set1
61433.3193    9564.7535     918.7769      0.9971        0.0672        0.0367        86.14         87.90         4.2345        0.3930         12938         253          0.0485        1.6086        2.2130        2.5056        Set1
61433.1970    9565.2414     925.1697      -0.9943       0.0460        0.0958        272.65        84.51         4.8872        0.8470         4885          257          0.0250        1.4414        0.4913        0.9216        Set1
61433.4872    9566.8138     923.6430      -0.9953       0.0953        0.0174        275.47        89.01         4.2894        0.2384         90860         264          0.0663        2.8858        2.3981        5.7888        Set1
61433.2381    9565.9128     924.4436      -0.9281       -0.0136       0.3721        269.16        68.15         4.4868        0.3404         832           265          0.0097        0.3395        0.3508        0.1584        Set1
61433.1592    9568.3033     918.5663      -0.8058       -0.1570       0.5710        258.98        55.18         3.8649        0.6469         930           279          0.0112        0.4605        0.1683        0.1584        Set1
61433.3570    9570.5960     918.6504      -0.6449       0.0321        0.7636        272.85        40.22         5.4189        1.3958         1397          302          0.0141        0.8632        0.2723        0.3888        Set1
61433.3769    9560.3500     917.7393      -0.8788       -0.1011       0.4664        263.44        62.20         4.6979        0.3960         3032          304          0.0136        0.7006        0.3774        0.3456        Set1
61433.2545    9560.8252     923.0373      0.9979        0.0095        0.0638        89.45         86.34         5.5567        0.5037         1687          311          0.0096        0.4696        0.6620        0.2880        Set1
61433.3287    9560.9598     917.8897      -0.9215       0.1344        0.3645        278.30        68.62         3.9122        0.8086         534           313          0.0099        0.4660        0.2036        0.1584        Set1
61433.3177    9561.3506     918.9818      0.9970        -0.0621       0.0466        93.56         87.33         3.4253        0.6277         1223          316          0.0171        0.4216        0.3421        0.1728        Set1
61433.2947    9561.1824     921.6107      -0.9956       0.0635        0.0692        273.65        86.03         2.8901        0.0729         443           319          0.0135        0.3575        0.3725        0.1584        Set1
61433.2259    9561.6140     918.1832      -0.9559       -0.2406       0.1687        255.87        80.29         4.4033        0.1402         916           330          0.0096        0.3980        0.4144        0.2160        Set1
61433.3372    9561.8436     921.8220      0.9755        -0.2099       0.0655        102.14        86.24         5.0093        1.2964         307           338          0.0116        0.6460        0.2055        0.2304        Set1
61433.2368    9563.7836     920.1460      0.9589        0.1051        0.2637        83.75         74.71         4.1478        1.1811         623           367          0.0141        0.5682        0.3418        0.2016        Set1
61433.4013    9565.2202     922.6197      -0.9690       -0.0833       0.2326        265.09        76.55         5.0903        0.3771         8212          382          0.0195        0.7556        1.2839        0.9648        Set1
61433.2208    9565.3559     919.6292      1.0000        -0.0063       0.0071        90.36         89.59         4.1466        0.3411         1086          385          0.0149        0.3917        0.4977        0.2592        Set1
61433.4324    9565.2099     921.0645      -0.9950       0.0056        0.0999        270.32        84.27         4.6505        0.2238         34409         387          0.0543        2.3029        2.5652        4.7088        Set1
61433.2221    9565.5703     919.0316      0.9955        -0.0494       0.0815        92.84         85.33         5.4111        1.5210         727           388          0.0107        0.2553        0.7862        0.2736        Set1
61433.4050    9566.5180     925.5248      0.9569        0.1097        0.2689        83.46         74.40         5.4768        0.3365         4542          417          0.0150        1.3321        0.7266        0.9216        Set1
61433.3315    9567.3141     925.9224      -0.9708       -0.0378       0.2370        267.77        76.29         3.6597        0.4926         2224          420          0.0295        0.6651        0.6551        0.4896        Set1
61433.3262    9568.3784     919.4947      -0.9857       0.1581        0.0580        279.11        86.68         4.4302        0.2895         6361          428          0.0166        0.9369        0.7715        0.5040        Set1
61433.3961    9559.1026     923.2396      0.9727        -0.1220       0.1975        97.15         78.61         4.3569        0.1689         5359          463          0.0172        0.8034        0.6175        0.6048        Set1
61433.4516    9558.9515     921.6861      -0.9310       -0.1388       0.3377        261.52        70.26         5.2063        0.2367         2405          465          0.0066        0.3287        0.4737        0.2160        Set1
61433.4846    9559.4210     920.8238      0.9887        0.0137        0.1495        89.21         81.40         4.9252        0.1776         31213         466          0.0310        1.9334        1.2726        2.3184        Set1
61433.3729    9562.0691     924.5610      -0.9289       -0.1349       0.3448        261.74        69.83         5.2684        0.8981         828           515          0.0101        0.6705        0.2690        0.3312        Set1
61433.4504    9562.5589     922.4224      0.9064        -0.1913       0.3765        101.92        67.88         4.2971        0.2126         5353          521          0.0247        0.9794        0.7046        0.9072        Set1
61433.3770    9562.6870     924.7454      -0.9704       -0.0951       0.2221        264.40        77.17         5.4550        0.4591         703           526          0.0068        0.5125        0.2860        0.2016        Set1
61433.4324    9563.7717     919.1039      -0.9093       -0.1908       0.3699        258.15        68.29         5.1359        1.0375         240           537          0.0099        0.3211        0.4590        0.2016        Set1
61433.4032    9565.3390     924.6444      0.8939        -0.1856       0.4081        101.73        65.91         4.2084        0.2354         3868          562          0.0203        0.9218        0.5210        0.5904        Set1
61433.4239    9564.7661     922.1117      0.9932        0.0341        0.1113        88.03         83.61         3.6603        0.2701         2032          566          0.0170        0.5098        0.5154        0.2592        Set1
61433.3672    9565.1729     925.6316      -0.9674       -0.1097       0.2281        263.53        76.82         5.0408        0.6028         1391          568          0.0120        0.7645        0.4121        0.4032        Set1
61433.4031    9566.3471     922.7642      0.9706        -0.0257       0.2394        91.52         76.15         5.3530        1.0514         12853         603          0.0227        1.6003        0.5401        0.9360        Set1
61433.3716    9567.7280     918.5816      -0.9909       -0.0999       0.0902        264.25        84.82         2.7502        1.3732         1133          630          0.0206        0.4888        0.2532        0.1872        Set1
61433.4322    9567.7929     926.0518      0.9994        -0.0330       0.0097        91.89         89.44         4.5928        0.7276         2424          631          0.0174        0.7003        0.6541        0.3888        Set1
61433.4709    9558.9930     922.3079      0.9981        0.0331        0.0513        88.10         87.06         4.6975        0.3826         6418          668          0.0156        0.6340        0.7063        0.4464        Set1
61433.6047    9559.7971     922.7749      -0.9763       -0.1713       0.1320        260.05        82.42         4.7405        0.2246         11634         691          0.0253        1.2736        0.9327        1.3968        Set1
61433.5333    9563.8707     924.4679      -0.9772       -0.0117       0.2118        269.32        77.77         4.4476        0.5120         5290          747          0.0248        1.1674        0.7413        1.0368        Set1
61433.5132    9564.0001     921.5013      -0.9989       0.0287        0.0366        271.64        87.90         4.3954        0.2062         413           756          0.0104        0.5647        0.3922        0.2016        Set1
61433.5090    9564.6485     919.9199      -0.8984       0.0703        0.4334        274.47        64.31         6.3282        0.3906         513           774          0.0065        0.3915        0.5702        0.2592        Set1
61433.3824    9565.2013     918.9077      -0.9683       0.2374        0.0777        283.77        85.54         6.1709        0.9701         238           798          0.0079        0.3413        0.6493        0.1728        Set1
